OBJECTID,HS_SCH,HS_ZONE,Shape__Area,Shape__Length
1,11,Ballard,288390131.590332,90661.5000204831
2,13,Franklin,331686835.715393,86288.4380890891
3,14,Garfield,315588605.105621,79796.5473991619
4,17,Roosevelt,235069838.4534,74434.5584461835
5,18,Chief Sealth Int'l,231375992.380051,84297.4383335208
6,19,West Seattle HS,277089837.751282,86298.9017307882
7,21,Rainier Beach,228582844.722946,104430.592346459
8,15,Lincoln,228438629.607361,74276.4806663367
9,22,Nathan Hale,191700043.167328,60087.3681232416
10,20,Ingraham Int'l,267585496.937256,80783.6335141079
